Wavelength,Intensity
1089.1803164086359,26733
1090.9645205789548,26608
1092.7480855627073,26452
1094.5310115564025,26575
1096.3132987565186,27064
1098.09494735949,27934
1099.8759575617096,29195
1101.6563295595279,29436
1103.4360635492485,29177
1105.2151597271386,28521
1106.9936182894235,27098
1108.7714394322848,25911
1110.5486233518641,24248
1112.3251702442594,22961
1114.1010803055287,21744
1115.876353731679,20854
1117.6509907186919,19871
1119.4249914624979,19201
1121.1983561589841,18984
1122.9710850039919,18861
1124.7431781933392,19101
1126.5146359227801,19045
1128.2854583880435,19865
1130.0556457848033,20235
1131.8251983087011,20750
1133.5941161553328,20973
1135.3623995202543,20860
1137.1300485989777,20691
1138.8970635869755,20753
1140.6634446796743,20236
1142.4291920724681,20211
1144.1943059606965,20145
1145.9587865396679,19871
1147.7226340046436,19881
1149.4858485508448,19788
1151.2484303734527,19904
1153.0103796676012,20235
1154.7716966283897,20752
1156.532381450872,21255
1158.2924343300583,22579
1160.0518554609207,21687
1161.8106450383893,22202
1163.5688032573526,22622
1165.326330312655,23054
1167.0832263991015,23844
1168.8394917114547,24004
1170.5951264444357,24811
1172.3501307927236,25544
1174.1045049509594,26056
1175.8582491137331,26778
1177.6113634756075,27438
1179.3638482310889,28334
1181.1157035746528,28952
1182.8669297007273,29491
1184.6175268037041,30292
1186.3674950779241,30842
1188.1168347176972,31717
1189.8655459172878,32491
1191.6136288709185,33555
1193.3610837727647,34868
1195.1079108169706,36808
1196.8541101976352,37536
1198.599682108812,38603
1200.3446267445142,39724
1202.0889442987191,38968
1203.8326349653544,38912
1205.5756989383153,38188
1207.3181364114462,37922
1209.0599475785566,37626
1210.8011326334145,38734
1212.5416917697403,38859
1214.2816251812219,39227
1216.0209330614962,38684
1217.7596156041636,37722
1219.4976730027865,35995
1221.2351054508817,33917
1222.9719131419261,32197
1224.7080962693508,30560
1226.4436550265491,29112
1228.1785896068759,28192
1229.9129002036443,27858
1231.6465870101147,28146
1233.37965021952,28041
1235.1120900250462,28850
1236.8439066198425,29644
1238.5751001970075,30442
1240.305670949605,30978
1242.0356190706552,31785
1243.7649447531385,32538
1245.4936481899949,33051
1247.2217295741193,33405
1248.94918909837,33329
1250.6760269555598,33731
1252.4022433384616,33537
1254.127838439812,33068
1255.8528124522927,32472
1257.5771655685621,32323
1259.3008979812239,31833
1261.0240098828472,31192
1262.7465014659574,30734
1264.4683729230383,30350
1266.1896244465315,29468
1267.9102562288426,29016
1269.6302684623315,28404
1271.3496613393145,27678
1273.0684350520751,27142
1274.7865897928477,26395
1276.5041257538287,25869
1278.2210431271742,25317
1279.9373421049968,24985
1281.6530228793672,24782
1283.3680856423198,24501
1285.0825305858452,24322
1286.7963579018906,24505
